"Date","Price","Open","High","Low","Vol.","Change %"
"21-04-2011","4,722.81","4,722.81","4,722.81","4,722.81","","1.07%"
"20-04-2011","4,672.63","4,672.63","4,672.63","4,672.63","","2.01%"
"19-04-2011","4,580.74","4,580.74","4,580.74","4,580.74","","0.52%"
"18-04-2011","4,556.96","4,556.96","4,556.96","4,556.96","","-1.89%"
"15-04-2011","4,644.97","4,644.97","4,644.97","4,644.97","","-1.10%"
"13-04-2011","4,696.74","4,696.74","4,696.74","4,696.74","","2.54%"
"11-04-2011","4,580.62","4,580.62","4,580.62","4,580.62","","-1.33%"
"08-04-2011","4,642.27","4,642.27","4,642.27","4,642.27","","-0.72%"
"07-04-2011","4,675.76","4,675.76","4,675.76","4,675.76","","0.46%"
"06-04-2011","4,654.22","4,654.22","4,654.22","4,654.22","","-0.31%"
"05-04-2011","4,668.71","4,668.71","4,668.71","4,668.71","","-0.20%"
"04-04-2011","4,678.01","4,678.01","4,678.01","4,678.01","","1.42%"
"01-04-2011","4,612.49","4,612.49","4,612.49","4,612.49","","-0.37%"
"31-03-2011","4,629.58","4,629.58","4,629.58","4,629.58","","-0.33%"
"30-03-2011","4,645.02","4,645.02","4,645.02","4,645.02","","1.62%"
"29-03-2011","4,571.14","4,571.14","4,571.14","4,571.14","","0.69%"
"28-03-2011","4,539.70","4,539.70","4,539.70","4,539.70","","1.18%"
"25-03-2011","4,486.67","4,486.67","4,486.67","4,486.67","","2.90%"
"24-03-2011","4,360.02","4,360.02","4,360.02","4,360.02","","1.01%"
"23-03-2011","4,316.60","4,316.60","4,316.60","4,316.60","","1.63%"
"22-03-2011","4,247.33","4,247.33","4,247.33","4,247.33","","0.89%"
"21-03-2011","4,209.86","4,209.86","4,209.86","4,209.86","","0.18%"
"18-03-2011","4,202.18","4,202.18","4,202.18","4,202.18","","-1.36%"
"17-03-2011","4,260.18","4,260.18","4,260.18","4,260.18","","-1.35%"
"16-03-2011","4,318.32","4,318.32","4,318.32","4,318.32","","1.61%"
"15-03-2011","4,249.73","4,249.73","4,249.73","4,249.73","","-1.60%"
"14-03-2011","4,318.68","4,318.68","4,318.68","4,318.68","","1.36%"
"11-03-2011","4,260.81","4,260.81","4,260.81","4,260.81","","-1.01%"
"10-03-2011","4,304.11","4,304.11","4,304.11","4,304.11","","-1.00%"
"09-03-2011","4,347.59","4,347.59","4,347.59","4,347.59","","0.31%"
"08-03-2011","4,334.29","4,334.29","4,334.29","4,334.29","","1.13%"
"07-03-2011","4,285.80","4,285.80","4,285.80","4,285.80","","-1.87%"
"04-03-2011","4,367.57","4,367.57","4,367.57","4,367.57","","0.64%"
"03-03-2011","4,339.94","4,339.94","4,339.94","4,339.94","","0.70%"
"01-03-2011","4,309.58","4,309.58","4,309.58","4,309.58","","4.28%"
"28-02-2011","4,132.57","4,132.57","4,132.57","4,132.57","","0.34%"
"25-02-2011","4,118.51","4,118.51","4,118.51","4,118.51","","1.97%"
"24-02-2011","4,038.95","4,038.95","4,038.95","4,038.95","","-4.02%"
"23-02-2011","4,208.21","4,208.21","4,208.21","4,208.21","","-1.32%"
"22-02-2011","4,264.54","4,264.54","4,264.54","4,264.54","","-1.70%"
"21-02-2011","4,338.23","4,338.23","4,338.23","4,338.23","","0.83%"
"18-02-2011","4,302.60","4,302.60","4,302.60","4,302.60","","-1.59%"
"17-02-2011","4,371.93","4,371.93","4,371.93","4,371.93","","2.21%"
"16-02-2011","4,277.38","4,277.38","4,277.38","4,277.38","","-0.62%"
"15-02-2011","4,304.05","4,304.05","4,304.05","4,304.05","","1.31%"
"14-02-2011","4,248.27","4,248.27","4,248.27","4,248.27","","3.31%"
"11-02-2011","4,112.31","4,112.31","4,112.31","4,112.31","","3.84%"
"10-02-2011","3,960.12","3,960.12","3,960.12","3,960.12","","-0.83%"
"09-02-2011","3,993.32","3,993.32","3,993.32","3,993.32","","-0.09%"
"08-02-2011","3,997.00","3,997.00","3,997.00","3,997.00","","-1.85%"
"07-02-2011","4,072.42","4,072.42","4,072.42","4,072.42","","-0.66%"
"04-02-2011","4,099.66","4,099.66","4,099.66","4,099.66","","-2.28%"
"03-02-2011","4,195.20","4,195.20","4,195.20","4,195.20","","1.83%"
"02-02-2011","4,119.82","4,119.82","4,119.82","4,119.82","","-0.53%"
"01-02-2011","4,141.85","4,141.85","4,141.85","4,141.85","","-1.22%"
"31-01-2011","4,193.08","4,193.08","4,193.08","4,193.08","","-0.46%"
"28-01-2011","4,212.55","4,212.55","4,212.55","4,212.55","","-1.49%"
"27-01-2011","4,276.21","4,276.21","4,276.21","4,276.21","","-1.50%"
"25-01-2011","4,341.50","4,341.50","4,341.50","4,341.50","","-2.09%"
"24-01-2011","4,434.35","4,434.35","4,434.35","4,434.35","","2.25%"
"21-01-2011","4,336.88","4,336.88","4,336.88","4,336.88","","0.23%"
"20-01-2011","4,326.99","4,326.99","4,326.99","4,326.99","","1.61%"
"19-01-2011","4,258.24","4,258.24","4,258.24","4,258.24","","-0.23%"
